prediction_id,x_min,x_max,y_min,y_max,spore_type_id,microscope_image_id
1426742,1804,2128,648,756,3,557722
1426743,1444,1752,728,848,3,557722
1426744,1872,2344,120,320,3,557722
1426747,1040,1148,2836,3036,3,557722
1426748,1952,2216,1612,1744,3,557722
1426751,-4,160,452,644,3,557722
1426754,1760,2148,1888,2028,3,557722
1426755,1852,2180,2536,2692,3,557722
1426741,1920,2148,1448,1544,3,557722
1426745,2392,2564,628,936,3,557722
1426746,2736,3072,544,684,3,557722
1426749,1904,2172,2672,2888,3,557722
1426750,216,628,132,244,3,557722
1426752,1748,1876,1444,1648,3,557722
1426753,300,536,1856,1988,3,557722
1426756,204,476,532,700,3,557722
1429545,1688,1910,2376,2476,3,557722
1429548,543,762,408,500,3,557722
1429546,2351,2446,463,730,3,557722
1429549,3794,4060,318,421,3,557722
