prediction_id,x_min,x_max,y_min,y_max,spore_type_id,microscope_image_id
1430065,2956,3264,2564,2788,3,559621
1436399,3821,4065,1552,1748,3,559621
1436401,3701,3960,1535,1743,3,559621
1436394,2890,3139,2647,2745,3,559621
1436395,3519,3861,1934,2159,3,559621
1436403,572,854,2845,2929,3,559621
1436396,2641,2852,1695,2037,3,559621
1436400,3970,4056,1382,1712,3,559621
1436397,2833,3077,2011,2203,3,559621
1436404,474,806,2848,3018,3,559621
1436398,3443,3673,1437,1621,3,559621
1436402,335,620,2695,2838,3,559621
