prediction_id,x_min,x_max,y_min,y_max,spore_type_id,microscope_image_id
1424272,878,1058,3019,3266,3,558327
1424274,2241,2505,1894,2062,3,558327
1424276,2474,2850,1521,1768,3,558327
1424267,3125,3495,2907,3058,3,558327
1424273,3072,3369,1967,2071,3,558327
1424278,2227,2603,1128,1384,3,558327
1424280,2844,3021,180,422,3,558327
1424284,777,906,834,1182,3,558327
1424286,485,614,674,969,3,558327
1424271,721,912,3013,3238,3,558327
1424275,2634,2743,1830,2099,3,558327
1424279,3473,3635,1891,2180,3,558327
1424283,1274,1462,1089,1339,3,558327
1424285,575,828,988,1207,3,558327
1424288,833,1046,63,365,3,558327
1424277,2861,3066,1330,1546,3,558327
1424282,1383,1742,814,994,3,558327
1424287,1055,1276,343,652,3,558327
