prediction_id,x_min,x_max,y_min,y_max,spore_type_id,microscope_image_id
1430189,2264,2500,2276,2448,3,559715
1436361,3738,3875,2232,2501,3,559715
1436348,304,524,2389,2521,3,559715
1436357,3439,3610,2767,3045,3,559715
1436358,1262,1385,1147,1440,3,559715
1436350,1199,1312,2159,2471,3,559715
1436353,1274,1397,2465,2796,3,559715
1436355,1281,1526,2679,2815,3,559715
1436347,250,455,2159,2304,3,559715
1436351,1224,1372,2001,2247,3,559715
1436360,452,691,25,337,3,559715
1436349,1293,1630,2304,2405,3,559715
1436352,1139,1334,2629,2821,3,559715
1436354,1340,1593,2484,2619,3,559715
1436356,1640,1873,2818,2975,3,559715
