prediction_id,x_min,x_max,y_min,y_max,spore_type_id,microscope_image_id
1428916,3320,3668,2111,2245,3,563379
1428921,1099,1444,1155,1332,3,563379
1428924,2521,2882,864,1187,3,563379
1428913,1076,1426,1809,2004,3,563379
1428918,3461,3563,2084,2381,3,563379
1428920,2042,2353,1057,1214,3,563379
1428914,1358,1576,1916,2277,3,563379
1428919,3813,3954,2136,2375,3,563379
1428923,2171,2566,603,746,3,563379
1428915,1547,1685,1859,2245,3,563379
1428917,3591,3840,2082,2168,3,563379
1428922,822,967,851,1239,3,563379
1428925,2848,3070,1132,1239,3,563379
1431815,1092,1428,1808,2000,3,563379
1431817,828,968,836,1228,3,563379
1431813,1380,1580,1904,2272,3,563379
1431814,1552,1664,1896,2232,3,563379
1431816,2160,2552,608,752,3,563379
1431819,2052,2344,1056,1224,3,563379
1431818,1108,1424,1168,1328,3,563379
1431820,2512,2876,864,1188,3,563379
