prediction_id,x_min,x_max,y_min,y_max,spore_type_id,microscope_image_id
1427052,1364,1508,1876,2260,3,557763
1427053,2972,3204,1592,1756,3,557763
1427055,860,1240,1440,1588,3,557763
1427056,1664,1808,2276,2732,3,557763
1427059,1404,1620,2292,2580,3,557763
1427060,2356,2616,348,540,3,557763
1427057,1984,2092,1176,1552,3,557763
1427058,376,532,456,700,3,557763
1429437,1715,1862,2723,2988,3,557763
1429441,3425,3800,769,1265,3,557763
1429436,1445,1564,2852,3058,3,557763
1429438,1958,2127,352,635,3,557763
1429433,989,1126,1768,2105,3,557763
1429434,1558,1782,1989,2164,3,557763
1429435,1404,1491,2628,2872,3,557763
1429439,1217,1547,790,948,3,557763
1429440,2581,2758,888,1175,3,557763
