prediction_id,x_min,x_max,y_min,y_max,spore_type_id,microscope_image_id
1436636,1642,1754,842,1206,3,559584
1436639,769,1029,1332,1451,3,559584
1436638,23,308,1527,1649,3,559584
1436630,2929,3318,1289,1404,3,559584
1436631,2778,3052,1765,1988,3,559584
1436632,1335,1505,1015,1447,3,559584
1436633,1386,1476,838,1094,3,559584
1436637,502,769,1447,1584,3,559584
1436640,2294,2543,373,553,3,559584
1436646,1444,1663,524,730,3,559584
1436647,3228,3488,488,586,3,559584
1436627,3693,3942,3023,3193,3,559584
1436628,2543,2706,1952,2313,3,559584
1436629,2287,2597,2104,2338,3,559584
1436635,1454,1584,899,1217,3,559584
1436641,2154,2399,528,708,3,559584
1436645,841,1036,27,290,3,559584
