prediction_id,x_min,x_max,y_min,y_max,spore_type_id,microscope_image_id
1426474,756,880,980,1232,3,557673
1426478,820,1044,2860,2992,3,557673
1426481,2236,2396,2592,2900,3,557673
1426483,2404,2580,1852,2132,3,557673
1426484,2232,2432,1444,1636,3,557673
1426473,1012,1216,1064,1436,3,557673
1426476,2152,2348,924,1064,3,557673
1426477,1700,2004,2776,2976,3,557673
1426479,2840,3192,1128,1420,3,557673
1426480,2908,3192,1072,1268,3,557673
1426482,2328,2572,940,1032,3,557673
1426485,932,1152,660,864,3,557673
1429515,1132,1269,804,949,3,557673
1429512,1535,1836,2769,2912,3,557673
1429513,2361,2501,2439,2648,3,557673
1429514,601,797,1007,1189,3,557673
