prediction_id,x_min,x_max,y_min,y_max,spore_type_id,microscope_image_id
1424045,1280,1652,2926,3061,3,558296
1424034,2385,2612,140,314,3,558296
1424035,2517,2768,151,367,3,558296
1424039,1393,1615,1169,1343,3,558296
1424040,2784,3100,1449,1565,3,558296
1424043,2401,2541,1510,1776,3,558296
1424044,2686,2955,2172,2277,3,558296
1424036,3264,3630,805,916,3,558296
1424037,3799,4042,905,1061,3,558296
1424038,2293,2406,942,1185,3,558296
1424041,2871,3087,1512,1628,3,558296
1424042,3018,3319,1512,1715,3,558296
1424226,3979,4165,2050,2409,3,558296
