prediction_id,x_min,x_max,y_min,y_max,spore_type_id,microscope_image_id
1445314,1568,1700,2572,2796,3,584286
1445318,3064,3352,1656,1856,3,584286
1445320,896,1264,2608,2880,3,584286
1445317,1,192,984,1144,3,584286
1445319,3040,3280,1364,1524,3,584286
1445313,28,264,1368,1468,3,584286
1445316,1716,1892,2532,3024,3,584286
1445315,2492,2688,2584,2948,3,584286
1450528,1420,1534,955,1281,3,584286
1450529,2743,3002,1693,1960,3,584286
1450527,1475,1880,986,1559,3,584286
1450530,3438,3646,2046,2289,3,584286
1450531,2716,2971,2007,2125,3,584286
