prediction_id,x_min,x_max,y_min,y_max,spore_type_id,microscope_image_id
1430018,3060,3252,2144,2272,3,559597
1430020,2596,3048,100,220,3,559597
1430021,3160,3452,2040,2184,3,559597
1436309,3221,3405,364,454,3,559597
1436313,2967,3168,1987,2077,3,559597
1436315,3679,3790,1864,2136,3,559597
1436310,3275,3432,884,1072,3,559597
1436316,3470,3750,1805,1939,3,559597
1436312,3499,3817,1146,1225,3,559597
1436311,3627,3784,1547,1792,3,559597
1436314,3472,3587,2151,2329,3,559597
1436317,91,233,2104,2179,3,559597
