prediction_id,x_min,x_max,y_min,y_max,spore_type_id,microscope_image_id
1452102,1832,2188,1372,1556,3,591391
1452103,956,1288,1680,1956,3,591391
1452104,264,632,2628,2744,3,591391
1452108,1628,1880,1044,1184,3,591391
1452109,1972,2128,760,1096,3,591391
1452113,1444,1732,2032,2188,3,591391
1452105,1224,1336,736,952,3,591391
1452106,412,696,1872,2020,3,591391
1452107,1532,1828,2460,2584,3,591391
1452110,120,532,428,584,3,591391
1452111,3260,3532,2240,2476,3,591391
1452112,2664,2968,1316,1512,3,591391
