prediction_id,x_min,x_max,y_min,y_max,spore_type_id,microscope_image_id
1445455,2396,2768,1792,1908,3,584338
1445454,2236,2580,1876,1980,3,584338
1445460,1820,2212,1992,2204,3,584338
1445456,3188,3508,1944,2064,3,584338
1445457,2672,2960,2352,2464,3,584338
1445458,488,720,1964,2072,3,584338
1445459,1188,1468,2260,2384,3,584338
1450580,686,879,944,1058,3,584338
1450601,3051,3290,655,785,3,584338
1450602,3234,3443,320,649,3,584338
1450600,2209,2433,632,835,3,584338
1450604,3578,3581,655,658,3,584338
1450579,595,815,846,1035,3,584338
1450603,3349,3614,352,481,3,584338
