prediction_id,x_min,x_max,y_min,y_max,spore_type_id,microscope_image_id
1445981,384,536,780,1000,3,584490
1445985,328,536,104,384,3,584490
1445987,16,336,600,792,3,584490
1445977,1,328,4,188,3,584490
1445982,752,888,160,380,3,584490
1445986,3220,3568,2000,2132,3,584490
1445979,2064,2352,2804,3036,3,584490
1445983,2696,3012,1940,2132,3,584490
1445988,1576,1800,1236,1576,3,584490
1445978,624,836,616,728,3,584490
1445980,1784,2060,352,508,3,584490
1445984,3388,3528,2392,2744,3,584490
1445989,2232,2416,1492,1700,3,584490
1450510,2852,3036,39,238,3,584490
1450512,1202,1320,1572,1746,3,584490
1450507,3597,3921,2256,2334,3,584490
1450511,1132,1298,1775,1961,3,584490
1450508,3894,4068,2247,2378,3,584490
1450509,3822,4055,682,797,3,584490
