prediction_id,x_min,x_max,y_min,y_max,spore_type_id,microscope_image_id
1424023,2607,2770,1312,1565,3,558307
1424024,3546,3852,1518,1737,3,558307
1424026,739,1026,634,726,3,558307
1424027,2462,2741,2077,2246,3,558307
1424031,897,1230,2642,2769,3,558307
1424032,757,981,2737,2935,3,558307
1424021,3161,3575,114,257,3,558307
1424022,1929,2369,914,1333,3,558307
1424025,2446,2612,1653,1866,3,558307
1424028,2973,3237,2383,2663,3,558307
1424029,3501,3615,2114,2341,3,558307
1424030,3688,3926,2465,2737,3,558307
1424033,1609,1931,2684,2861,3,558307
