prediction_id,x_min,x_max,y_min,y_max,spore_type_id,microscope_image_id
1426285,684,1068,2668,2768,3,557598
1426288,3192,3488,896,1000,3,557598
1426289,3352,3536,92,412,3,557598
1426290,188,500,1032,1156,3,557598
1426294,504,696,2672,3032,3,557598
1426295,2816,3092,1120,1260,3,557598
1426298,204,564,2772,3012,3,557598
1426299,580,816,1724,1960,3,557598
1426286,480,924,328,468,3,557598
1426287,1220,1436,980,1120,3,557598
1426292,184,356,1860,2196,3,557598
1426293,-4,200,2596,2828,3,557598
1426296,2688,3000,2348,2472,3,557598
1426297,396,660,1016,1276,3,557598
1429654,3129,3339,2936,3018,3,557598
1429656,3746,4045,1396,1551,3,557598
1429657,3594,3830,148,248,3,557598
