prediction_id,x_min,x_max,y_min,y_max,spore_type_id,microscope_image_id
1451973,1432,1704,996,1104,3,591344
1451975,80,360,1832,1988,3,591344
1451978,1056,1212,1132,1432,3,591344
1451980,3260,3416,844,1060,3,591344
1451981,1796,2124,224,368,3,591344
1451985,1072,1372,2472,2736,3,591344
1451974,96,276,672,872,3,591344
1451976,1040,1356,116,248,3,591344
1451977,1168,1328,1196,1476,3,591344
1451979,2680,2872,2516,2720,3,591344
1451982,688,948,436,724,3,591344
1451983,392,616,2648,3004,3,591344
1451984,972,1272,2492,2660,3,591344
