prediction_id,x_min,x_max,y_min,y_max,spore_type_id,microscope_image_id
3025248,1860,2060,12,220,3,1648934
3025249,256,816,1616,1928,3,1648934
3025250,348,712,1428,1536,3,1648934
3025252,3036,3272,348,620,3,1648934
3025253,76,340,2088,2244,3,1648934
3041031,2434,2560,2347,2594,3,1648934
3041028,2058,2315,1055,1171,3,1648934
3041029,1164,1331,547,679,3,1648934
3041033,339,533,2824,2970,3,1648934
3025251,3136,3348,204,364,3,1648934
3041032,154,379,2920,3006,3,1648934
3041025,3802,4006,356,522,3,1648934
3041027,3913,4153,643,817,3,1648934
3041030,447,649,63,169,3,1648934
