prediction_id,x_min,x_max,y_min,y_max,spore_type_id,microscope_image_id
1436544,1259,1628,2651,2804,3,559482
1436549,497,607,2790,2991,3,559482
1436551,2562,2720,1359,1721,3,559482
1436556,106,602,975,1081,3,559482
1436560,3053,3247,472,915,3,559482
1436548,440,610,2560,2796,3,559482
1436550,2516,2759,2129,2351,3,559482
1436557,1844,2192,321,553,3,559482
1436558,2912,3190,965,1172,3,559482
1436554,454,598,2017,2330,3,559482
1436546,1200,1461,2756,2884,3,559482
1436553,3691,4015,2432,2548,3,559482
1436552,3638,3867,1992,2196,3,559482
1436559,3145,3379,1073,1262,3,559482
