prediction_id,x_min,x_max,y_min,y_max,spore_type_id,microscope_image_id
1445339,120,284,2148,2404,3,584295
1445338,968,1216,1240,1340,3,584295
1445342,604,944,2448,2568,3,584295
1445336,1544,1728,1952,2144,3,584295
1445337,1100,1272,1768,1976,3,584295
1445340,1484,1780,2760,2992,3,584295
1445341,200,376,1048,1352,3,584295
1445343,1308,1496,1472,1700,3,584295
1450588,1321,1498,2140,2274,3,584295
1450592,3706,4020,2028,2184,3,584295
1450587,843,970,2036,2263,3,584295
1450589,2898,3050,2432,2716,3,584295
1450590,2899,3039,1525,1675,3,584295
1450586,242,494,735,828,3,584295
1450591,3751,4013,1285,1394,3,584295
