prediction_id,x_min,x_max,y_min,y_max,spore_type_id,microscope_image_id
1452026,2688,2920,840,940,3,591363
1452027,1464,1580,576,820,3,591363
1452030,1536,1652,576,812,3,591363
1452033,1180,1496,2156,2288,3,591363
1452035,860,1096,1384,1520,3,591363
1452036,2280,2536,112,296,3,591363
1452040,1344,1776,1720,2128,3,591363
1452041,1336,1564,224,464,3,591363
1452025,3072,3188,740,1076,3,591363
1452028,2376,2596,1724,1868,3,591363
1452029,1668,1840,176,400,3,591363
1452031,212,448,1540,1776,3,591363
1452032,444,592,2724,2960,3,591363
1452034,1268,1400,1788,2148,3,591363
1452037,376,508,1504,1788,3,591363
1452038,280,396,32,312,3,591363
1452039,1592,1844,1128,1404,3,591363
1452042,3268,3516,2080,2244,3,591363
