prediction_id,x_min,x_max,y_min,y_max,spore_type_id,microscope_image_id
1423619,1412,1527,2774,3041,3,564555
1423621,3309,3615,2711,2827,3,564555
1423624,3347,3660,331,446,3,564555
1423626,3699,4017,404,746,3,564555
1423615,785,1082,1120,1298,3,564555
1423620,3107,3335,2597,2763,3,564555
1423622,3584,3918,2827,2973,3,564555
1423625,3563,3691,454,728,3,564555
1423628,3037,3274,436,532,3,564555
1423617,910,1410,1783,2111,3,564555
1423623,1643,1867,522,623,3,564555
1423616,697,828,1362,1545,3,564555
1423618,1055,1351,2436,2543,3,564555
1423627,3605,3795,420,626,3,564555
1423683,4060,4379,2612,2767,3,564555
