prediction_id,x_min,x_max,y_min,y_max,spore_type_id,microscope_image_id
1445761,3212,3492,1760,1872,3,584420
1445767,1300,1568,1520,1632,3,584420
1445769,248,552,408,560,3,584420
1445760,2728,3024,2872,3020,3,584420
1445764,3228,3464,832,940,3,584420
1445768,88,468,1900,2044,3,584420
1445759,464,576,524,728,3,584420
1445763,3308,3484,620,880,3,584420
1445762,304,452,1360,1524,3,584420
1445765,1672,1960,316,424,3,584420
1450565,3187,3466,1808,1896,3,584420
1450567,357,534,642,740,3,584420
1450563,3827,4073,613,740,3,584420
1450566,2657,2839,1757,1916,3,584420
1450569,3093,3264,2202,2378,3,584420
1450562,3568,3896,649,853,3,584420
1450568,812,1010,808,915,3,584420
1450564,3038,3226,1752,1868,3,584420
