prediction_id,x_min,x_max,y_min,y_max,spore_type_id,microscope_image_id
1426853,1108,1348,1404,1516,3,557742
1426854,3064,3272,-4,136,3,557742
1426856,3004,3268,2228,2344,3,557742
1426857,1188,1424,1076,1204,3,557742
1426862,3192,3528,1920,2104,3,557742
1426863,1380,1692,904,1076,3,557742
1426855,980,1212,284,396,3,557742
1426858,-12,212,1420,1532,3,557742
1426859,3300,3568,2632,2772,3,557742
1426860,1668,1880,400,584,3,557742
1426861,1724,2112,908,1028,3,557742
1426864,1968,2196,1024,1200,3,557742
1426865,2228,2660,744,884,3,557742
1429556,3694,4005,2707,2836,3,557742
1429560,3826,4060,731,1082,3,557742
1429557,1258,1425,1166,1354,3,557742
1429558,2155,2372,821,929,3,557742
1429559,2535,2768,596,879,3,557742
1429561,3741,4074,459,636,3,557742
