prediction_id,x_min,x_max,y_min,y_max,spore_type_id,microscope_image_id
2854818,1052,1380,2488,2632,3,1606985
2854821,848,1020,2848,3040,3,1606985
2854819,2592,2796,2516,2660,3,1606985
2854820,3196,3328,52,288,3,1606985
2854822,164,520,1104,1328,3,1606985
2870287,1774,1889,2428,2498,3,1606985
2870292,2708,2932,2802,2922,3,1606985
2870288,2358,2508,2432,2517,3,1606985
2870290,2285,2383,2308,2453,3,1606985
2870291,3544,3775,2220,2376,3,1606985
2870315,3673,4071,1083,1171,3,1606985
2870289,2480,2595,2517,2557,3,1606985
