prediction_id,x_min,x_max,y_min,y_max,spore_type_id,microscope_image_id
1259041,3380,3568,1588,1788,3,485599
1259040,-8,240,1052,1164,3,485599
1259042,3320,3548,1780,1980,3,485599
1259044,764,884,2696,2924,3,485599
1259045,1960,2068,604,920,3,485599
1259047,948,1128,928,1300,3,485599
1259048,1020,1236,1724,2048,3,485599
1259052,572,768,164,368,3,485599
1259054,2800,3012,2392,2700,3,485599
1259055,2064,2368,580,896,3,485599
1259057,1640,1940,1672,1900,3,485599
1259043,2852,3052,560,996,3,485599
1259046,532,696,1036,1344,3,485599
1259049,1640,2096,448,608,3,485599
1259050,1232,1496,160,356,3,485599
1259051,2788,3164,1460,1600,3,485599
1259056,3224,3536,1600,1840,3,485599
1259053,2904,3396,2024,2236,3,485599
1259058,2584,2956,804,972,3,485599
