prediction_id,x_min,x_max,y_min,y_max,spore_type_id,microscope_image_id
1449056,2852,3060,1144,1252,3,589372
1449057,2900,3104,2692,2904,3,589372
1449059,2908,3244,2648,2756,3,589372
1449060,800,960,496,720,3,589372
1449062,3368,3568,2764,2924,3,589372
1449063,820,1192,728,836,3,589372
1449058,1140,1712,1036,1248,3,589372
1449064,2812,2952,2484,2896,3,589372
1449061,3156,3568,2412,2800,3,589372
1459276,3387,3658,1984,2106,3,589372
1459278,1517,1708,2294,2625,3,589372
1459277,1355,1949,1641,1977,3,589372
1459275,3160,3355,1818,2099,3,589372
1459279,3561,3845,2874,3065,3,589372
