prediction_id,x_min,x_max,y_min,y_max,spore_type_id,microscope_image_id
5251151,1796,2120,948,1064,3,2821108
5251158,2484,2820,2252,2368,3,2821108
5251164,1892,2244,2292,2428,3,2821108
5251177,252,592,1164,1280,3,2821108
5251232,2568,2868,484,776,3,2821108
5251238,916,1240,1332,1496,3,2821108
5251210,892,1276,320,472,3,2821108
5251170,104,400,620,764,3,2821108
5251194,3260,3568,232,364,3,2821108
5251248,1684,2080,2840,2976,3,2821108
5251244,2296,2612,984,1140,3,2821108
5251218,76,396,2632,2792,3,2821108
5251225,2216,2556,780,892,3,2821108
5251200,2824,3192,2464,2580,3,2821108
5251187,1588,1900,2264,2404,3,2821108
5251149,2276,2500,2232,2332,3,2821108
5260087,149,332,859,972,3,2821108
5260088,298,498,773,975,3,2821108
