prediction_id,x_min,x_max,y_min,y_max,spore_type_id,microscope_image_id
1445537,2284,2496,1272,1472,3,584366
1445543,2032,2288,2224,2320,3,584366
1445545,52,296,1080,1356,3,584366
1445539,1716,1940,2724,2876,3,584366
1445546,2932,3096,1028,1332,3,584366
1445536,144,272,2308,2496,3,584366
1445540,3276,3512,2288,2488,3,584366
1445542,1448,1692,1920,2020,3,584366
1445547,2760,3280,2224,2372,3,584366
1445538,192,348,564,804,3,584366
1445544,2276,2460,2056,2224,3,584366
1445548,864,1116,1176,1376,3,584366
1450605,21,192,3033,3192,3,584366
