prediction_id,x_min,x_max,y_min,y_max,spore_type_id,microscope_image_id
1424334,2376,2658,2057,2215,3,558390
1424337,868,1011,2258,2444,3,558390
1424341,3207,3394,2606,2798,3,558390
1424330,3257,3555,843,943,3,558390
1424331,3735,3844,294,459,3,558390
1424332,1138,1377,1039,1191,3,558390
1424333,1594,1892,1414,1790,3,558390
1424336,818,921,2116,2289,3,558390
1424339,520,682,2680,2910,3,558390
1424340,2742,2965,2525,2711,3,558390
1424344,3769,4070,3022,3136,3,558390
1424335,769,865,1973,2140,3,558390
1424338,977,1172,2382,2525,3,558390
