prediction_id,x_min,x_max,y_min,y_max,spore_type_id,microscope_image_id
2676197,692,1024,1920,2152,3,1558503
2682908,3311,3617,1526,1747,3,1558503
2682909,1058,1189,2077,2321,3,1558503
2682906,962,1184,230,477,3,1558503
2682925,2977,3108,1795,2112,3,1558503
2682927,1625,1899,2161,2378,3,1558503
2682910,3493,3756,2673,2802,3,1558503
2682911,2158,2403,2727,3008,3,1558503
2682912,1955,2079,2625,2972,3,1558503
2682901,1459,1608,225,492,3,1558503
2682903,1469,1703,1601,1732,3,1558503
2682905,489,777,1230,1351,3,1558503
2682902,1014,1245,1107,1341,3,1558503
2682904,780,973,991,1169,3,1558503
2682907,142,242,1521,1868,3,1558503
2682926,1506,1765,2088,2182,3,1558503
