prediction_id,x_min,x_max,y_min,y_max,spore_type_id,microscope_image_id
1426757,3052,3320,756,924,3,557723
1426759,2664,2792,1776,2164,3,557723
1426760,2772,3004,1880,2148,3,557723
1426762,2708,2828,1152,1508,3,557723
1426763,1376,1560,864,1060,3,557723
1426758,2464,2608,20,260,3,557723
1426761,3076,3200,2248,2616,3,557723
1426764,1304,1600,2008,2192,3,557723
1429473,3547,3898,1031,1152,3,557723
1429472,2924,3204,593,936,3,557723
1429474,1956,2059,1025,1234,3,557723
1429475,1673,1805,2331,2558,3,557723
