prediction_id,x_min,x_max,y_min,y_max,spore_type_id,microscope_image_id
1426633,3104,3376,1576,1668,3,557701
1426634,1692,1964,676,780,3,557701
1426637,2000,2220,1336,1472,3,557701
1426638,436,752,2852,3004,3,557701
1426640,1508,1812,656,768,3,557701
1426643,88,420,2776,3040,3,557701
1426646,1700,2008,16,256,3,557701
1426635,36,520,1324,1484,3,557701
1426636,760,1164,1324,1428,3,557701
1426639,92,360,1628,1744,3,557701
1426641,896,1136,2404,2540,3,557701
1426642,1944,2236,1784,2012,3,557701
1426644,764,1056,936,1064,3,557701
1426645,-8,200,1140,1372,3,557701
1429692,1955,2454,550,680,3,557701
1429694,306,647,2664,2767,3,557701
1429693,2108,2351,637,767,3,557701
1429691,2019,2124,437,730,3,557701
