prediction_id,x_min,x_max,y_min,y_max,spore_type_id,microscope_image_id
1429191,904,1151,3013,3097,3,563422
1429195,3690,3982,2070,2169,3,563422
1429198,2400,2616,1160,1257,3,563422
1429200,646,883,373,676,3,563422
1429193,1428,1620,1484,1640,3,563422
1429194,1579,1766,1609,1715,3,563422
1429192,878,1068,2500,2594,3,563422
1429197,1480,1688,1259,1426,3,563422
1429199,1183,1336,128,438,3,563422
1429202,1094,1433,292,493,3,563422
1429196,1029,1326,908,1072,3,563422
1429201,3601,3857,6,128,3,563422
1432003,652,876,384,668,3,563422
1432004,1032,1312,912,1076,3,563422
