prediction_id,x_min,x_max,y_min,y_max,spore_type_id,microscope_image_id
1429109,315,618,1318,1425,3,563273
1429113,2322,2440,2410,2728,3,563273
1429108,717,912,933,1071,3,563273
1429111,1942,2072,873,1118,3,563273
1429114,1895,2015,2812,3041,3,563273
1429105,237,547,67,231,3,563273
1429106,347,662,513,701,3,563273
1429107,63,383,672,815,3,563273
1429110,824,936,1428,1751,3,563273
1429112,3837,3996,1344,1537,3,563273
1429115,3542,3667,2478,2770,3,563273
1431492,832,936,1448,1748,3,563273
1431493,264,536,72,228,3,563273
1431495,360,644,520,696,3,563273
1431496,68,380,684,804,3,563273
1431494,-4,188,1440,1592,3,563273
