prediction_id,x_min,x_max,y_min,y_max,spore_type_id,microscope_image_id
1426457,1396,1508,2256,2580,3,557671
1426460,836,1012,1684,1936,3,557671
1426461,984,1240,904,1060,3,557671
1426462,2368,2728,2660,2812,3,557671
1426465,1040,1376,1024,1148,3,557671
1426458,3072,3192,1056,1316,3,557671
1426459,1684,1916,2876,3040,3,557671
1426463,2032,2196,1480,1700,3,557671
1426464,664,920,1320,1560,3,557671
1429504,3700,3990,2471,2653,3,557671
1429505,3235,3489,2392,2737,3,557671
1429502,1381,1584,12,168,3,557671
1429503,528,713,1492,1724,3,557671
1429506,3816,4061,1278,1418,3,557671
1429507,1768,1995,1975,2131,3,557671
1426456,1148,1420,2496,2708,3,557671
