prediction_id,x_min,x_max,y_min,y_max,spore_type_id,microscope_image_id
1428968,1321,1444,139,476,3,563527
1428974,3090,3240,2064,2208,3,563527
1428969,322,601,1064,1389,3,563527
1428972,1753,1879,2291,2530,3,563527
1428975,62,187,2005,2370,3,563527
1428970,2802,3068,1555,1886,3,563527
1428973,3179,3283,2067,2257,3,563527
1428976,3847,3976,2294,2481,3,563527
1428967,3166,3669,418,691,3,563527
1428971,3249,3473,1212,1371,3,563527
1432547,316,600,1064,1372,3,563527
1432550,1312,1424,160,460,3,563527
1432548,72,184,2024,2364,3,563527
1432549,2820,3052,1564,1840,3,563527
1432551,3252,3568,420,656,3,563527
