prediction_id,x_min,x_max,y_min,y_max,spore_type_id,microscope_image_id
1445332,1980,2220,1460,1604,3,584293
1445331,1136,1496,2272,2380,3,584293
1445334,1152,1568,1616,1716,3,584293
1445330,2688,2924,2352,2468,3,584293
1450532,1946,2056,1985,2220,3,584293
1450536,3623,3725,933,1255,3,584293
1450538,2966,3089,2295,2515,3,584293
1450533,1707,1801,1066,1306,3,584293
1450537,3638,3882,1035,1235,3,584293
1450534,1644,1958,634,890,3,584293
1450535,3732,3882,2275,2499,3,584293
1445335,344,600,868,1072,3,584293
