prediction_id,x_min,x_max,y_min,y_max,spore_type_id,microscope_image_id
5273868,1462,1850,2764,2976,3,2835957
5273871,3184,3552,1088,1184,3,2835957
5273872,3825,4034,1735,1904,3,2835957
5273875,3002,3254,375,677,3,2835957
5273876,3320,3579,398,637,3,2835957
5273878,1754,2019,929,1065,3,2835957
5273881,1160,1455,1154,1324,3,2835957
5273883,1458,1893,623,730,3,2835957
5273884,1687,2026,716,833,3,2835957
5273867,1362,1896,2356,2562,3,2835957
5273869,2391,2729,2907,3046,3,2835957
5273870,3131,3516,1184,1480,3,2835957
5273873,3576,3911,1005,1151,3,2835957
5273874,2889,3144,720,833,3,2835957
5273877,3745,4067,617,773,3,2835957
5273879,2049,2354,1383,1569,3,2835957
5273880,1209,1339,2004,2187,3,2835957
5273882,1329,1608,896,1071,3,2835957
